Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
17-04-20,71-80,4,83,11/27/2020 02:15:01 PM
18-04-20,71-80,0,83,11/27/2020 02:15:01 PM
19-04-20,71-80,0,83,11/27/2020 02:15:01 PM
20-04-20,71-80,1,84,11/27/2020 02:15:01 PM
21-04-20,71-80,0,84,11/27/2020 02:15:01 PM
22-04-20,71-80,1,85,11/27/2020 02:15:01 PM
23-04-20,71-80,8,93,11/27/2020 02:15:01 PM
24-04-20,71-80,5,98,11/27/2020 02:15:01 PM
25-04-20,71-80,9,107,11/27/2020 02:15:01 PM
26-04-20,71-80,1,108,11/27/2020 02:15:01 PM
27-04-20,71-80,3,111,11/27/2020 02:15:01 PM
28-04-20,71-80,4,115,11/27/2020 02:15:01 PM
29-04-20,71-80,2,117,11/27/2020 02:15:01 PM
30-04-20,71-80,3,120,11/27/2020 02:15:01 PM
01-05-20,71-80,1,121,11/27/2020 02:15:01 PM
02-05-20,71-80,0,121,11/27/2020 02:15:01 PM
03-05-20,71-80,0,121,11/27/2020 02:15:01 PM
04-05-20,71-80,0,121,11/27/2020 02:15:01 PM
05-05-20,71-80,0,121,11/27/2020 02:15:01 PM
06-05-20,71-80,0,121,11/27/2020 02:15:01 PM
07-05-20,71-80,0,121,11/27/2020 02:15:01 PM
08-05-20,71-80,0,121,11/27/2020 02:15:01 PM
09-05-20,71-80,0,121,11/27/2020 02:15:01 PM
10-05-20,71-80,0,121,11/27/2020 02:15:01 PM
11-05-20,71-80,1,122,11/27/2020 02:15:01 PM
12-05-20,71-80,6,128,11/27/2020 02:15:01 PM
13-05-20,71-80,0,128,11/27/2020 02:15:01 PM
14-05-20,71-80,1,129,11/27/2020 02:15:01 PM
15-05-20,71-80,1,130,11/27/2020 02:15:01 PM
16-05-20,71-80,0,130,11/27/2020 02:15:01 PM
17-05-20,71-80,2,132,11/27/2020 02:15:01 PM
18-05-20,71-80,2,134,11/27/2020 02:15:01 PM
19-05-20,71-80,1,135,11/27/2020 02:15:01 PM
20-05-20,71-80,0,135,11/27/2020 02:15:01 PM
21-05-20,71-80,0,135,11/27/2020 02:15:01 PM
22-05-20,71-80,1,136,11/27/2020 02:15:01 PM
23-05-20,71-80,0,136,11/27/2020 02:15:01 PM
24-05-20,71-80,1,137,11/27/2020 02:15:01 PM
25-05-20,71-80,0,137,11/27/2020 02:15:01 PM
26-05-20,71-80,2,139,11/27/2020 02:15:01 PM
27-05-20,71-80,3,142,11/27/2020 02:15:01 PM
28-05-20,71-80,0,142,11/27/2020 02:15:01 PM
29-05-20,71-80,1,143,11/27/2020 02:15:01 PM
30-05-20,71-80,0,143,11/27/2020 02:15:01 PM
31-05-20,71-80,1,144,11/27/2020 02:15:01 PM
01-06-20,71-80,3,147,11/27/2020 02:15:01 PM
02-06-20,71-80,1,148,11/27/2020 02:15:01 PM
03-06-20,71-80,2,150,11/27/2020 02:15:01 PM
04-06-20,71-80,1,151,11/27/2020 02:15:01 PM
05-06-20,71-80,1,152,11/27/2020 02:15:01 PM
06-06-20,71-80,1,153,11/27/2020 02:15:01 PM
07-06-20,71-80,0,153,11/27/2020 02:15:01 PM
08-06-20,71-80,2,155,11/27/2020 02:15:01 PM
09-06-20,71-80,2,157,11/27/2020 02:15:01 PM
10-06-20,71-80,0,157,11/27/2020 02:15:01 PM
11-06-20,71-80,0,157,11/27/2020 02:15:01 PM
12-06-20,71-80,0,157,11/27/2020 02:15:01 PM
13-06-20,71-80,0,157,11/27/2020 02:15:01 PM
14-06-20,71-80,0,157,11/27/2020 02:15:01 PM
15-06-20,71-80,0,157,11/27/2020 02:15:01 PM
16-06-20,71-80,2,159,11/27/2020 02:15:01 PM
17-06-20,71-80,2,161,11/27/2020 02:15:01 PM
18-06-20,71-80,1,162,11/27/2020 02:15:01 PM
19-06-20,71-80,2,164,11/27/2020 02:15:01 PM
20-06-20,71-80,0,164,11/27/2020 02:15:01 PM
21-06-20,71-80,0,164,11/27/2020 02:15:01 PM
22-06-20,71-80,5,169,11/27/2020 02:15:01 PM
23-06-20,71-80,3,172,11/27/2020 02:15:01 PM
24-06-20,71-80,1,173,11/27/2020 02:15:01 PM
25-06-20,71-80,4,177,11/27/2020 02:15:01 PM
26-06-20,71-80,4,181,11/27/2020 02:15:01 PM
27-06-20,71-80,1,182,11/27/2020 02:15:01 PM
28-06-20,71-80,1,183,11/27/2020 02:15:01 PM
29-06-20,71-80,3,186,11/27/2020 02:15:01 PM
30-06-20,71-80,3,189,11/27/2020 02:15:01 PM
01-07-20,71-80,0,189,11/27/2020 02:15:01 PM
02-07-20,71-80,0,189,11/27/2020 02:15:01 PM
03-07-20,71-80,1,190,11/27/2020 02:15:01 PM
04-07-20,71-80,0,190,11/27/2020 02:15:01 PM
05-07-20,71-80,0,190,11/27/2020 02:15:01 PM
06-07-20,71-80,2,192,11/27/2020 02:15:01 PM
07-07-20,71-80,0,192,11/27/2020 02:15:01 PM
08-07-20,71-80,6,198,11/27/2020 02:15:01 PM
09-07-20,71-80,2,200,11/27/2020 02:15:01 PM
10-07-20,71-80,1,201,11/27/2020 02:15:01 PM
11-07-20,71-80,1,202,11/27/2020 02:15:01 PM
12-07-20,71-80,3,205,11/27/2020 02:15:01 PM
13-07-20,71-80,1,206,11/27/2020 02:15:01 PM
14-07-20,71-80,1,207,11/27/2020 02:15:01 PM
15-07-20,71-80,2,209,11/27/2020 02:15:01 PM
16-07-20,71-80,3,212,11/27/2020 02:15:01 PM
17-07-20,71-80,2,214,11/27/2020 02:15:01 PM
18-07-20,71-80,2,216,11/27/2020 02:15:01 PM
19-07-20,71-80,1,217,11/27/2020 02:15:01 PM
20-07-20,71-80,3,220,11/27/2020 02:15:01 PM
21-07-20,71-80,1,221,11/27/2020 02:15:01 PM
22-07-20,71-80,4,225,11/27/2020 02:15:01 PM
23-07-20,71-80,2,227,11/27/2020 02:15:01 PM
24-07-20,71-80,3,230,11/27/2020 02:15:01 PM
25-07-20,71-80,3,233,11/27/2020 02:15:01 PM
26-07-20,71-80,1,234,11/27/2020 02:15:01 PM
27-07-20,71-80,0,234,11/27/2020 02:15:01 PM
28-07-20,71-80,5,239,11/27/2020 02:15:01 PM
29-07-20,71-80,2,241,11/27/2020 02:15:01 PM
30-07-20,71-80,2,243,11/27/2020 02:15:01 PM
31-07-20,71-80,2,245,11/27/2020 02:15:01 PM
01-08-20,71-80,5,250,11/27/2020 02:15:01 PM
02-08-20,71-80,3,253,11/27/2020 02:15:01 PM
03-08-20,71-80,5,258,11/27/2020 02:15:01 PM
04-08-20,71-80,1,259,11/27/2020 02:15:01 PM
05-08-20,71-80,1,260,11/27/2020 02:15:01 PM
06-08-20,71-80,5,265,11/27/2020 02:15:01 PM
07-08-20,71-80,7,272,11/27/2020 02:15:01 PM
08-08-20,71-80,2,274,11/27/2020 02:15:01 PM
09-08-20,71-80,1,275,11/27/2020 02:15:01 PM
10-08-20,71-80,4,279,11/27/2020 02:15:01 PM
11-08-20,71-80,1,280,11/27/2020 02:15:01 PM
12-08-20,71-80,6,286,11/27/2020 02:15:01 PM
13-08-20,71-80,3,289,11/27/2020 02:15:01 PM
14-08-20,71-80,4,293,11/27/2020 02:15:01 PM
15-08-20,71-80,3,296,11/27/2020 02:15:01 PM
16-08-20,71-80,1,297,11/27/2020 02:15:01 PM
17-08-20,71-80,0,297,11/27/2020 02:15:01 PM
18-08-20,71-80,2,299,11/27/2020 02:15:01 PM
19-08-20,71-80,4,303,11/27/2020 02:15:01 PM
20-08-20,71-80,3,306,11/27/2020 02:15:01 PM
21-08-20,71-80,6,312,11/27/2020 02:15:01 PM
22-08-20,71-80,0,312,11/27/2020 02:15:01 PM
23-08-20,71-80,1,313,11/27/2020 02:15:01 PM
24-08-20,71-80,3,316,11/27/2020 02:15:01 PM
25-08-20,71-80,6,322,11/27/2020 02:15:01 PM
26-08-20,71-80,1,323,11/27/2020 02:15:01 PM
27-08-20,71-80,2,325,11/27/2020 02:15:01 PM
28-08-20,71-80,2,327,11/27/2020 02:15:01 PM
29-08-20,71-80,2,329,11/27/2020 02:15:01 PM
30-08-20,71-80,1,330,11/27/2020 02:15:01 PM
31-08-20,71-80,0,330,11/27/2020 02:15:01 PM
01-09-20,71-80,3,333,11/27/2020 02:15:01 PM
02-09-20,71-80,4,337,11/27/2020 02:15:01 PM
03-09-20,71-80,4,341,11/27/2020 02:15:01 PM
04-09-20,71-80,1,342,11/27/2020 02:15:01 PM
05-09-20,71-80,3,345,11/27/2020 02:15:01 PM
06-09-20,71-80,0,345,11/27/2020 02:15:01 PM
07-09-20,71-80,5,350,11/27/2020 02:15:01 PM
08-09-20,71-80,4,354,11/27/2020 02:15:01 PM
09-09-20,71-80,6,360,11/27/2020 02:15:01 PM
10-09-20,71-80,3,363,11/27/2020 02:15:01 PM
11-09-20,71-80,7,370,11/27/2020 02:15:01 PM
